id,name,type1,type2,rarity,hp,attack,defense,sp_atk,sp_def,speed
1,Bulbasaur,Grass,Poison,3,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,3,60,62,63,80,80,60
3,Venusaur,Grass,Poison,4,80,82,83,100,100,80
4,Charmander,Fire,,3,39,52,43,60,50,65
5,Charmeleon,Fire,,3,58,64,58,80,65,80
6,Charizard,Fire,Flying,4,78,84,78,109,85,100
7,Squirtle,Water,,3,44,48,65,50,64,43
8,Wartortle,Water,,3,59,63,80,65,80,58
9,Blastoise,Water,,4,79,83,100,85,105,78
10,Caterpie,Bug,,1,45,30,35,20,20,45
11,Metapod,Bug,,1,50,20,55,25,25,30
12,Butterfree,Bug,Flying,2,60,45,50,90,80,70
13,Weedle,Bug,Poison,1,40,35,30,20,20,50
14,Kakuna,Bug,Poison,1,45,25,50,25,25,35
15,Beedrill,Bug,Poison,2,65,90,40,45,80,75
16,Pidgey,Normal,Flying,1,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,2,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,3,83,80,75,70,70,101
19,Rattata,Normal,,1,30,56,35,25,35,72
20,Raticate,Normal,,2,55,81,60,50,70,97
21,Spearow,Normal,Flying,1,40,60,30,31,31,70
22,Fearow,Normal,Flying,2,65,90,65,61,61,100
23,Ekans,Poison,,2,35,60,44,40,54,55
24,Arbok,Poison,,3,60,95,69,65,79,80
25,Pikachu,Electric,,3,35,55,40,50,50,90
26,Raichu,Electric,,3,60,90,55,90,80,110
27,Sandshrew,Ground,,2,50,75,85,20,30,40
28,Sandslash,Ground,,3,75,100,110,45,55,65
29,Nidoran-F,Poison,,2,55,47,52,40,40,41
30,Nidorina,Poison,,2,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,3,90,92,87,75,85,76
32,Nidoran-M,Poison,,2,46,57,40,40,40,50
33,Nidorino,Poison,,2,61,72,57,55,55,65
34,Nidoking,Poison,Ground,3,81,102,77,85,75,85
35,Clefairy,Normal,,3,70,45,48,60,65,35
36,Clefable,Normal,,3,95,70,73,95,90,60
37,Vulpix,Fire,,2,38,41,40,50,65,65
38,Ninetales,Fire,,3,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,2,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,3,140,70,45,85,50,45
41,Zubat,Poison,Flying,1,40,45,35,30,40,55
42,Golbat,Poison,Flying,2,75,80,70,65,75,90
43,Oddish,Grass,Poison,1,45,50,55,75,65,30
44,Gloom,Grass,Poison,2,60,65,70,85,75,40
45,Vileplume,Grass,Poison,3,75,80,85,110,90,50
46,Paras,Bug,Grass,1,35,70,55,45,55,25
47,Parasect,Bug,Grass,2,60,95,80,60,80,30
48,Venonat,Bug,Poison,2,60,55,50,40,55,45
49,Venomoth,Bug,Poison,3,70,65,60,90,75,90
50,Diglett,Ground,,2,10,55,25,35,45,95
51,Dugtrio,Ground,,3,35,100,50,50,70,120
52,Meowth,Normal,,2,40,45,35,40,40,90
53,Persian,Normal,,3,65,70,60,65,65,115
54,Psyduck,Water,,2,50,52,48,65,50,55
55,Golduck,Water,,3,80,82,78,95,80,85
56,Mankey,Fighting,,1,40,80,35,35,45,70
57,Primeape,Fighting,,2,65,105,60,60,70,95
58,Growlithe,Fire,,2,55,70,45,70,50,60
59,Arcanine,Fire,,3,90,110,80,100,80,95
60,Poliwag,Water,,2,40,50,40,40,40,90
61,Poliwhirl,Water,,2,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,3,90,95,95,70,90,70
63,Abra,Psychic,,3,25,20,15,105,55,90
64,Kadabra,Psychic,,3,40,35,30,120,70,105
65,Alakazam,Psychic,,4,55,50,45,135,95,120
66,Machop,Fighting,,2,70,80,50,35,35,35
67,Machoke,Fighting,,2,80,100,70,50,60,45
68,Machamp,Fighting,,3,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,1,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,2,65,90,50,85,45,55
71,Victreebel,Grass,Poison,3,80,105,65,100,70,70
72,Tentacool,Water,Poison,1,40,40,35,50,100,70
73,Tentacruel,Water,Poison,3,80,70,65,80,120,100
